Race,City,State,Gender,Lat,Long,Time,Dist
Parkway,Colorado Springs,CO,M,38.8339578,-104.8253484,1:05:05 AM,552.7
Parkway,Hobbs,NM,M,32.7026116,-103.1360402,1:05:17 AM,651.3
Parkway,Colorado Springs,CO,M,38.8339578,-104.8253484,1:05:21 AM,552.7
Parkway,Newport,KY,M,39.0889469,-84.4919523,1:07:36 AM,541.2
Parkway,Manhattan,KS,M,39.1836082,-96.5716693,1:08:30 AM,108.1
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:08:52 AM,0
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:09:02 AM,19.4
Parkway,Lees Summit,MO,M,38.9108408,-94.3821723,1:13:18 AM,15.4
Parkway,UNK,UNK,UNK,#N/A,#N/A,1:14:28 AM,#N/A
Parkway,Richmond,MO,M,39.278622,-93.9768875,1:14:37 AM,34.2
Parkway,Mexico ,Mexico,F,19.4325301,-99.1332101,1:15:27 AM,1380.9
Parkway,Springfield,MO,M,37.2153307,-93.298252,1:16:10 AM,146.2
Parkway,Springfield,MO,F,37.2153307,-93.298252,1:16:10 AM,146.2
Parkway,Decatur,TX,M,33.2601705,-97.57284487,1:16:34 AM,435.3
Parkway,High Falls,NY,F,43.1613214,-77.6133826,1:17:00 AM,926.2
Parkway,Lenexa,KS,M,38.9536174,-94.7335708,1:17:05 AM,12.9
Parkway,UNK,UNK,F,#N/A,#N/A,1:17:59 AM,#N/A
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:18:43 AM,0
Parkway,Shawnee,KS,M,39.0416718,-94.7202375,1:19:43 AM,9
Parkway,Kansas City,KS,M,39.1146799,-94.7495245,1:19:59 AM,10.2
Parkway,Ames,IA,F,42.0267703,-93.6170553,1:20:02 AM,209
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:20:10 AM,0
Parkway,Leawood,KS,F,38.966673,-94.6169011,1:20:42 AM,8.6
Parkway,Bellingham,WA,M,48.754402,-122.4788601,1:20:54 AM,1533.1
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:21:01 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:21:24 AM,0
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:22:22 AM,9.1
Parkway,Roeland Park,KS,M,39.0375053,-94.6321794,1:22:43 AM,4.9
Parkway,Independence,MO,F,39.0911161,-94.4155067,1:22:51 AM,7.9
Parkway,Colorado Springs,CO,F,38.8339578,-104.8253484,1:22:59 AM,552.7
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:23:15 AM,0
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:23:17 AM,0
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:23:22 AM,9.1
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:23:22 AM,19.4
Parkway,Shawnee,KS,M,39.0416718,-94.7202375,1:23:36 AM,9
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:23:45 AM,0
Parkway,Colorado Springs,CO,M,38.8339578,-104.8253484,1:24:05 AM,552.7
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:24:31 AM,0
Parkway,Liberty,MO,M,39.2463496,-94.4189374,1:24:35 AM,13.6
Parkway,Lees Summit,MO,M,38.9108408,-94.3821723,1:24:38 AM,15.4
Parkway,Lawrence,KS,F,38.9719384,-95.2359495,1:25:01 AM,37
Parkway,Gladstone,MO,M,39.2038918,-94.5546769,1:25:03 AM,8.3
Parkway,Omaha,NE,F,41.2587317,-95.9378731,1:25:06 AM,166.7
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:25:09 AM,0
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:25:28 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:25:45 AM,0
Parkway,Lawrence,KS,M,38.9719384,-95.2359495,1:25:59 AM,37
Parkway,Winchester,MO,M,38.5903311,-90.5278999,1:26:12 AM,220.3
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:26:23 AM,0
Parkway,Overland Park,KS,M,38.9822282,-94.6707916,1:26:24 AM,9.1
Parkway,Omaha,NE,M,41.2587317,-95.9378731,1:26:29 AM,166.7
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:26:30 AM,0
Parkway,Lees Summit,MO,M,38.9108408,-94.3821723,1:26:31 AM,15.4
Parkway,Knob Noster,MO,F,38.7666798,-93.5585457,1:26:34 AM,58.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:27:02 AM,0
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:27:02 AM,19.4
Parkway,Liberty,MO,M,39.2463496,-94.4189374,1:27:03 AM,13.6
Parkway,Omaha,NE,M,41.2587317,-95.9378731,1:27:03 AM,166.7
Parkway,Olathe,KS,M,38.8843867,-94.8161126,1:27:06 AM,19.4
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:27:08 AM,0
Parkway,Kansas City,MO,F,39.0844687,-94.5630297,1:27:09 AM,0
Parkway,Pittsfield,IL,M,42.4500967,-73.2453784,1:27:20 AM,1139
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:27:25 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:27:27 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:27:29 AM,0
Parkway,Kansas City,MO,M,39.0844687,-94.5630297,1:27:52 AM,0
