Age Group Place,Chip Time
1 Top Fin,1:13:47 AM
1 M 25-29,1:18:16 AM
1 M 30-34,1:20:43 AM
2 M 30-34,1:22:26 AM
2 M 25-29,1:24:02 AM
3 M 30-34,1:24:49 AM
4 M 30-34,1:25:11 AM
1 M 35-39,1:25:24 AM
2 M 35-39,1:26:06 AM
5 M 30-34,1:26:20 AM
3 M 35-39,1:26:49 AM
3 M 25-29,1:27:32 AM
6 M 30-34,1:28:52 AM
1 Top Fin,1:28:55 AM
4 M 35-39,1:28:58 AM
1 Top Fin,1:29:21 AM
1 M 55-59,1:29:22 AM
7 M 30-34,1:29:31 AM
1 M 40-44,1:29:37 AM
5 M 35-39,1:29:45 AM
6 M 35-39,1:29:46 AM
1 M 50-54,1:31:03 AM
2 M 40-44,1:31:11 AM
4 M 25-29,1:31:24 AM
3 M 40-44,1:31:26 AM
5 M 25-29,1:31:27 AM
6 M 25-29,1:32:17 AM
1 M 45-49,1:32:20 AM
4 M 40-44,1:32:33 AM
7 M 35-39,1:32:46 AM
2 M 50-54,1:33:00 AM
2 M 45-49,1:33:31 AM
1 M 60-64,1:34:02 AM
8 M 35-39,1:34:08 AM
7 M 25-29,1:34:24 AM
9 M 35-39,1:34:33 AM
8 M 30-34,1:34:34 AM
5 M 40-44,1:34:36 AM
6 M 40-44,1:34:39 AM
10 M 35-39,1:34:43 AM
1 M 20-24,1:34:58 AM
1 F 35-39,1:35:02 AM
11 M 35-39,1:35:03 AM
7 M 40-44,1:35:05 AM
9 M 30-34,1:35:09 AM
8 M 25-29,1:35:21 AM
1 F 30-34,1:35:23 AM
9 M 25-29,1:35:40 AM
2 F 30-34,1:35:50 AM
12 M 35-39,1:35:56 AM
1 M 15-19,1:36:21 AM
3 M 50-54,1:36:26 AM
3 F 30-34,1:36:28 AM
2 M 15-19,1:36:40 AM
2 F 35-39,1:36:43 AM
4 M 50-54,1:36:56 AM
1 F 20-24,1:37:04 AM
10 M 30-34,1:37:26 AM
10 M 25-29,1:37:34 AM
1 F 25-29,1:37:34 AM
3 M 45-49,1:37:55 AM
11 M 25-29,1:38:00 AM
12 M 25-29,1:38:00 AM
5 M 50-54,1:38:05 AM
2 F 25-29,1:38:06 AM
13 M 35-39,1:38:22 AM
3 F 35-39,1:38:25 AM
8 M 40-44,1:38:25 AM
9 M 40-44,1:38:29 AM
3 F 25-29,1:38:45 AM
14 M 35-39,1:38:46 AM
3 M 15-19,1:38:47 AM
2 M 55-59,1:38:48 AM
4 F 25-29,1:38:50 AM
4 M 45-49,1:38:50 AM
4 F 30-34,1:38:51 AM
10 M 40-44,1:38:51 AM
11 M 40-44,1:39:00 AM
11 M 30-34,1:39:01 AM
13 M 25-29,1:39:07 AM
3 M 55-59,1:39:36 AM
4 M 15-19,1:39:40 AM
4 M 55-59,1:40:14 AM
4 F 35-39,1:40:15 AM
5 F 30-34,1:40:16 AM
14 M 25-29,1:40:21 AM
15 M 35-39,1:40:28 AM
16 M 35-39,1:40:34 AM
6 F 30-34,1:40:37 AM
1 M 1-14,1:40:44 AM
5 F 35-39,1:40:44 AM
17 M 35-39,1:40:46 AM
18 M 35-39,1:41:01 AM
12 M 30-34,1:41:31 AM
1 Top Fin,1:41:34 AM
15 M 25-29,1:41:44 AM
19 M 35-39,1:41:50 AM
16 M 25-29,1:41:50 AM
12 M 40-44,1:41:57 AM
5 M 45-49,1:41:57 AM
5 F 25-29,1:41:58 AM
6 F 25-29,1:42:06 AM
6 M 50-54,1:42:11 AM
13 M 30-34,1:42:23 AM
2 M 20-24,1:42:37 AM
20 M 35-39,1:42:40 AM
14 M 30-34,1:42:49 AM
13 M 40-44,1:42:53 AM
6 F 35-39,1:43:08 AM
6 M 45-49,1:43:09 AM
15 M 30-34,1:43:10 AM
7 F 30-34,1:43:11 AM
5 M 15-19,1:43:20 AM
14 M 40-44,1:43:21 AM
7 M 45-49,1:43:28 AM
17 M 25-29,1:43:30 AM
21 M 35-39,1:43:31 AM
8 M 45-49,1:43:33 AM
2 M 60-64,1:43:38 AM
22 M 35-39,1:43:41 AM
9 M 45-49,1:43:44 AM
18 M 25-29,1:43:52 AM
7 F 25-29,1:43:54 AM
23 M 35-39,1:43:59 AM
8 F 30-34,1:44:02 AM
7 F 35-39,1:44:02 AM
1 F 45-49,1:44:04 AM
15 M 40-44,1:44:05 AM
16 M 30-34,1:44:08 AM
24 M 35-39,1:44:18 AM
8 F 25-29,1:44:18 AM
19 M 25-29,1:44:20 AM
16 M 40-44,1:44:24 AM
3 M 20-24,1:44:25 AM
25 M 35-39,1:44:26 AM
9 F 25-29,1:44:27 AM
17 M 40-44,1:44:31 AM
1 F 40-44,1:44:34 AM
26 M 35-39,1:44:43 AM
17 M 30-34,1:44:50 AM
10 M 45-49,1:45:11 AM
20 M 25-29,1:45:18 AM
11 M 45-49,1:45:20 AM
18 M 40-44,1:45:24 AM
27 M 35-39,1:45:40 AM
10 F 25-29,1:45:51 AM
28 M 35-39,1:45:52 AM
2 M 1-14,1:46:01 AM
2 F 20-24,1:46:28 AM
19 M 40-44,1:46:32 AM
11 F 25-29,1:46:36 AM
5 M 55-59,1:46:45 AM
12 F 25-29,1:47:02 AM
3 F 20-24,1:47:07 AM
21 M 25-29,1:47:19 AM
4 F 20-24,1:47:24 AM
1 F 50-54,1:47:24 AM
12 M 45-49,1:47:41 AM
20 M 40-44,1:47:41 AM
8 F 35-39,1:47:43 AM
5 F 20-24,1:47:43 AM
21 M 40-44,1:47:44 AM
13 M 45-49,1:47:45 AM
22 M 40-44,1:47:47 AM
2 F 50-54,1:48:03 AM
2 F 45-49,1:48:12 AM
23 M 40-44,1:48:13 AM
3 M 60-64,1:48:18 AM
9 F 35-39,1:48:18 AM
6 M 55-59,1:48:22 AM
24 M 40-44,1:48:22 AM
29 M 35-39,1:48:29 AM
10 F 35-39,1:48:29 AM
3 F 50-54,1:48:33 AM
30 M 35-39,1:48:39 AM
11 F 35-39,1:48:45 AM
4 F 50-54,1:48:45 AM
18 M 30-34,1:48:54 AM
19 M 30-34,1:48:54 AM
2 F 40-44,1:49:01 AM
9 F 30-34,1:49:02 AM
4 M 20-24,1:49:04 AM
5 F 50-54,1:49:08 AM
14 M 45-49,1:49:10 AM
31 M 35-39,1:49:13 AM
20 M 30-34,1:49:14 AM
25 M 40-44,1:49:15 AM
7 M 50-54,1:49:17 AM
6 F 50-54,1:49:23 AM
21 M 30-34,1:49:30 AM
32 M 35-39,1:49:31 AM
12 F 35-39,1:49:33 AM
15 M 45-49,1:49:33 AM
3 F 45-49,1:49:39 AM
3 F 40-44,1:49:40 AM
13 F 35-39,1:49:42 AM
22 M 30-34,1:49:44 AM
22 M 25-29,1:49:50 AM
7 M 55-59,1:49:54 AM
1 M 65-69,1:49:56 AM
26 M 40-44,1:50:01 AM
4 F 40-44,1:50:03 AM
10 F 30-34,1:50:06 AM
23 M 30-34,1:50:15 AM
13 F 25-29,1:50:24 AM
11 F 30-34,1:50:26 AM
24 M 30-34,1:50:27 AM
5 F 40-44,1:50:32 AM
14 F 35-39,1:50:32 AM
4 F 45-49,1:50:33 AM
8 M 50-54,1:50:38 AM
9 M 50-54,1:50:42 AM
25 M 30-34,1:50:50 AM
33 M 35-39,1:50:56 AM
10 M 50-54,1:51:02 AM
1 F 55-59,1:51:08 AM
34 M 35-39,1:51:15 AM
12 F 30-34,1:51:20 AM
26 M 30-34,1:51:30 AM
5 F 45-49,1:51:34 AM
11 M 50-54,1:51:34 AM
13 F 30-34,1:51:39 AM
4 M 60-64,1:51:43 AM
7 F 50-54,1:51:46 AM
23 M 25-29,1:51:49 AM
12 M 50-54,1:51:55 AM
15 F 35-39,1:51:55 AM
27 M 30-34,1:51:57 AM
14 F 25-29,1:52:03 AM
14 F 30-34,1:52:11 AM
27 M 40-44,1:52:11 AM
35 M 35-39,1:52:12 AM
16 M 45-49,1:52:15 AM
28 M 30-34,1:52:19 AM
28 M 40-44,1:52:24 AM
29 M 40-44,1:52:26 AM
29 M 30-34,1:52:36 AM
6 F 40-44,1:52:40 AM
16 F 35-39,1:52:49 AM
17 M 45-49,1:52:51 AM
18 M 45-49,1:52:54 AM
36 M 35-39,1:52:57 AM
30 M 40-44,1:52:57 AM
31 M 40-44,1:53:05 AM
17 F 35-39,1:53:09 AM
32 M 40-44,1:53:18 AM
18 F 35-39,1:53:19 AM
7 F 40-44,1:53:22 AM
8 F 40-44,1:53:22 AM
13 M 50-54,1:53:28 AM
9 F 40-44,1:53:28 AM
10 F 40-44,1:53:29 AM
19 F 35-39,1:53:29 AM
1 F 15-19,1:53:34 AM
20 F 35-39,1:53:38 AM
19 M 45-49,1:53:40 AM
15 F 30-34,1:53:42 AM
8 M 55-59,1:53:45 AM
20 M 45-49,1:53:51 AM
6 F 45-49,1:53:52 AM
16 F 30-34,1:53:57 AM
11 F 40-44,1:53:58 AM
33 M 40-44,1:53:59 AM
37 M 35-39,1:54:01 AM
30 M 30-34,1:54:05 AM
15 F 25-29,1:54:07 AM
12 F 40-44,1:54:09 AM
8 F 50-54,1:54:11 AM
31 M 30-34,1:54:14 AM
7 F 45-49,1:54:22 AM
13 F 40-44,1:54:23 AM
9 F 50-54,1:54:23 AM
21 M 45-49,1:54:25 AM
16 F 25-29,1:54:26 AM
5 M 20-24,1:54:30 AM
21 F 35-39,1:54:36 AM
17 F 25-29,1:54:36 AM
32 M 30-34,1:54:45 AM
38 M 35-39,1:54:48 AM
34 M 40-44,1:54:49 AM
22 F 35-39,1:54:49 AM
33 M 30-34,1:54:59 AM
14 F 40-44,1:55:02 AM
35 M 40-44,1:55:02 AM
17 F 30-34,1:55:02 AM
15 F 40-44,1:55:04 AM
14 M 50-54,1:55:11 AM
18 F 30-34,1:55:13 AM
34 M 30-34,1:55:18 AM
16 F 40-44,1:55:34 AM
23 F 35-39,1:55:34 AM
24 F 35-39,1:55:36 AM
6 M 15-19,1:55:49 AM
17 F 40-44,1:55:54 AM
36 M 40-44,1:55:54 AM
19 F 30-34,1:55:55 AM
37 M 40-44,1:55:55 AM
39 M 35-39,1:55:56 AM
38 M 40-44,1:55:56 AM
18 F 40-44,1:55:57 AM
20 F 30-34,1:55:58 AM
22 M 45-49,1:56:00 AM
18 F 25-29,1:56:03 AM
39 M 40-44,1:56:03 AM
10 F 50-54,1:56:05 AM
23 M 45-49,1:56:06 AM
21 F 30-34,1:56:11 AM
40 M 40-44,1:56:16 AM
15 M 50-54,1:56:16 AM
25 F 35-39,1:56:25 AM
41 M 40-44,1:56:25 AM
24 M 45-49,1:56:28 AM
26 F 35-39,1:56:33 AM
2 F 15-19,1:56:37 AM
42 M 40-44,1:56:40 AM
27 F 35-39,1:56:44 AM
22 F 30-34,1:56:44 AM
40 M 35-39,1:56:45 AM
19 F 25-29,1:56:45 AM
43 M 40-44,1:56:49 AM
20 F 25-29,1:56:52 AM
11 F 50-54,1:56:53 AM
23 F 30-34,1:56:53 AM
44 M 40-44,1:57:00 AM
2 M 65-69,1:57:06 AM
35 M 30-34,1:57:10 AM
28 F 35-39,1:57:10 AM
24 M 25-29,1:57:16 AM
12 F 50-54,1:57:20 AM
24 F 30-34,1:57:20 AM
13 F 50-54,1:57:21 AM
5 M 60-64,1:57:23 AM
29 F 35-39,1:57:25 AM
21 F 25-29,1:57:25 AM
41 M 35-39,1:57:26 AM
25 M 45-49,1:57:30 AM
45 M 40-44,1:57:32 AM
46 M 40-44,1:57:33 AM
42 M 35-39,1:57:33 AM
30 F 35-39,1:57:43 AM
25 F 30-34,1:57:43 AM
26 F 30-34,1:57:44 AM
31 F 35-39,1:57:47 AM
6 M 60-64,1:57:47 AM
19 F 40-44,1:57:47 AM
47 M 40-44,1:57:48 AM
43 M 35-39,1:57:49 AM
44 M 35-39,1:57:49 AM
32 F 35-39,1:57:51 AM
3 M 65-69,1:57:57 AM
27 F 30-34,1:57:59 AM
45 M 35-39,1:58:00 AM
16 M 50-54,1:58:02 AM
20 F 40-44,1:58:07 AM
22 F 25-29,1:58:11 AM
36 M 30-34,1:58:23 AM
8 F 45-49,1:58:24 AM
33 F 35-39,1:58:26 AM
34 F 35-39,1:58:26 AM
21 F 40-44,1:58:28 AM
1 M 70-74,1:58:30 AM
46 M 35-39,1:58:37 AM
28 F 30-34,1:58:37 AM
23 F 25-29,1:58:39 AM
9 F 45-49,1:58:40 AM
17 M 50-54,1:58:45 AM
24 F 25-29,1:58:55 AM
29 F 30-34,1:58:57 AM
35 F 35-39,1:58:57 AM
48 M 40-44,1:59:04 AM
37 M 30-34,1:59:04 AM
26 M 45-49,1:59:05 AM
49 M 40-44,1:59:05 AM
6 F 20-24,1:59:08 AM
25 M 25-29,1:59:11 AM
38 M 30-34,1:59:11 AM
10 F 45-49,1:59:14 AM
47 M 35-39,1:59:15 AM
25 F 25-29,1:59:17 AM
26 F 25-29,1:59:18 AM
11 F 45-49,1:59:19 AM
48 M 35-39,1:59:22 AM
6 M 20-24,1:59:26 AM
26 M 25-29,1:59:26 AM
36 F 35-39,1:59:28 AM
3 F 15-19,1:59:29 AM
39 M 30-34,1:59:37 AM
37 F 35-39,1:59:43 AM
7 M 20-24,1:59:44 AM
27 M 45-49,1:59:46 AM
30 F 30-34,1:59:46 AM
27 F 25-29,1:59:47 AM
31 F 30-34,1:59:48 AM
12 F 45-49,1:59:48 AM
28 F 25-29,1:59:48 AM
40 M 30-34,1:59:48 AM
4 F 15-19,1:59:54 AM
7 F 20-24,1:59:58 AM
49 M 35-39,2:00:02 AM
41 M 30-34,2:00:04 AM
29 F 25-29,2:00:11 AM
22 F 40-44,2:00:16 AM
23 F 40-44,2:00:34 AM
38 F 35-39,2:00:35 AM
24 F 40-44,2:00:35 AM
39 F 35-39,2:00:36 AM
50 M 35-39,2:00:42 AM
42 M 30-34,2:00:43 AM
40 F 35-39,2:00:44 AM
30 F 25-29,2:00:47 AM
31 F 25-29,2:00:47 AM
13 F 45-49,2:00:51 AM
51 M 35-39,2:01:07 AM
50 M 40-44,2:01:09 AM
8 F 20-24,2:01:13 AM
9 F 20-24,2:01:14 AM
32 F 25-29,2:01:15 AM
5 F 15-19,2:01:17 AM
32 F 30-34,2:01:20 AM
10 F 20-24,2:01:20 AM
41 F 35-39,2:01:22 AM
28 M 45-49,2:01:39 AM
51 M 40-44,2:01:42 AM
29 M 45-49,2:01:47 AM
14 F 45-49,2:01:48 AM
15 F 45-49,2:01:49 AM
43 M 30-34,2:01:53 AM
11 F 20-24,2:02:00 AM
44 M 30-34,2:02:05 AM
42 F 35-39,2:02:07 AM
14 F 50-54,2:02:07 AM
52 M 35-39,2:02:07 AM
43 F 35-39,2:02:07 AM
33 F 25-29,2:02:08 AM
25 F 40-44,2:02:12 AM
53 M 35-39,2:02:18 AM
1 F 60-64,2:02:18 AM
2 F 55-59,2:02:21 AM
18 M 50-54,2:02:27 AM
33 F 30-34,2:02:29 AM
15 F 50-54,2:02:36 AM
2 M 70-74,2:02:36 AM
26 F 40-44,2:02:37 AM
30 M 45-49,2:03:00 AM
31 M 45-49,2:03:04 AM
54 M 35-39,2:03:04 AM
27 M 25-29,2:03:06 AM
16 F 45-49,2:03:09 AM
32 M 45-49,2:03:10 AM
34 F 30-34,2:03:12 AM
33 M 45-49,2:03:12 AM
34 F 25-29,2:03:14 AM
4 M 65-69,2:03:16 AM
8 M 20-24,2:03:17 AM
16 F 50-54,2:03:18 AM
28 M 25-29,2:03:27 AM
34 M 45-49,2:03:27 AM
17 F 45-49,2:03:31 AM
35 F 30-34,2:03:37 AM
9 M 55-59,2:03:40 AM
52 M 40-44,2:03:41 AM
44 F 35-39,2:03:42 AM
45 F 35-39,2:03:42 AM
45 M 30-34,2:03:47 AM
27 F 40-44,2:03:49 AM
46 F 35-39,2:03:55 AM
28 F 40-44,2:03:55 AM
47 F 35-39,2:04:06 AM
2 F 60-64,2:04:09 AM
29 F 40-44,2:04:14 AM
10 M 55-59,2:04:14 AM
46 M 30-34,2:04:15 AM
35 F 25-29,2:04:17 AM
11 M 55-59,2:04:31 AM
53 M 40-44,2:04:31 AM
48 F 35-39,2:04:31 AM
55 M 35-39,2:04:31 AM
36 F 25-29,2:04:34 AM
17 F 50-54,2:04:39 AM
18 F 45-49,2:04:41 AM
36 F 30-34,2:04:43 AM
49 F 35-39,2:04:47 AM
19 M 50-54,2:04:53 AM
30 F 40-44,2:04:58 AM
37 F 30-34,2:05:03 AM
18 F 50-54,2:05:04 AM
31 F 40-44,2:05:07 AM
50 F 35-39,2:05:11 AM
54 M 40-44,2:05:14 AM
32 F 40-44,2:05:15 AM
51 F 35-39,2:05:17 AM
55 M 40-44,2:05:18 AM
20 M 50-54,2:05:22 AM
19 F 50-54,2:05:25 AM
56 M 35-39,2:05:26 AM
