DIVISION,TIME
M1924,1:12:56
M1924,1:18:44
M4044,1:20:10
M2529,1:20:21
M3034,1:22:38
M3034,1:22:56
M3034,1:25:42
M3539,1:26:09
M5054,1:26:11
M3539,1:26:49
M3034,1:26:53
M3539,1:27:51
M3539,1:28:30
M3034,1:29:35
M2529,1:29:38
M2529,1:29:45
M3034,1:30:11
M3539,1:30:14
PACER,1:30:15
PACER,1:30:21
M4044,1:30:43
M2529,1:31:22
M4044,1:32:26
M2529,1:32:50
F2529,1:32:53
M3034,1:34:09
M4044,1:34:11
M4549,1:34:13
M3034,1:34:30
F4044,1:34:37
PACER,1:34:43
M3034,1:34:45
M4549,1:34:53
M4044,1:34:55
M2529,1:35:02
M3539,1:35:06
M4549,1:35:14
M3539,1:35:19
M3539,1:35:23
M4044,1:35:26
M4044,1:35:31
M2529,1:35:32
M3034,1:35:37
F3034,1:35:43
PACER,1:35:45
M3034,1:36:01
M6064,1:36:18
M2529,1:36:43
M2529,1:36:54
M5054,1:36:57
M3539,1:37:03
M3539,1:37:14
M4044,1:37:15
M4549,1:37:30
M2529,1:37:35
M2529,1:37:44
M6064,1:37:47
M4044,1:37:51
M4044,1:38:01
M3034,1:38:03
M4044,1:38:04
M4044,1:38:11
F3539,1:38:11
F3539,1:38:17
M3034,1:38:18
M18UN,1:38:21
M4044,1:38:22
M3034,1:38:22
M3539,1:38:25
M4549,1:38:30
M18UN,1:38:39
F2529,1:38:50
M2529,1:38:55
F2529,1:38:59
M3539,1:39:09
M2529,1:39:11
F1924,1:39:12
M4044,1:39:17
M2529,1:39:23
M4044,1:39:27
M3539,1:39:29
M4044,1:39:30
M3034,1:39:40
M2529,1:39:49
M18UN,1:39:50
M4044,1:39:55
M4044,1:39:56
M3539,1:39:58
PACER,1:40:04
M1924,1:40:08
PACER,1:40:10
M3034,1:40:23
M3034,1:40:37
M5054,1:41:02
M3034,1:41:02
M4044,1:41:07
M4549,1:41:16
F1924,1:41:28
F3539,1:41:29
F2529,1:41:37
M4549,1:41:45
M5559,1:41:57
M3539,1:41:57
M4044,1:42:02
M4549,1:42:20
F3539,1:42:20
F3034,1:42:22
F2529,1:42:31
M3539,1:42:34
M3539,1:42:37
M3034,1:42:40
M3539,1:42:41
M4044,1:42:44
M3539,1:42:49
M3539,1:43:08
M2529,1:43:10
M4044,1:43:10
F3539,1:43:11
M2529,1:43:11
