Age Group Place,Chip Time
1 M 30-34,4:12:50 AM
2 M 30-34,4:13:55 AM
3 M 30-34,4:16:52 AM
4 M 30-34,4:21:40 AM
1 M 35-39,4:21:47 AM
2 M 35-39,4:24:00 AM
1 M 25-29,4:25:09 AM
3 M 35-39,4:27:43 AM
5 M 30-34,4:30:21 AM
1 F 25-29,4:31:11 AM
1 M 40-44,4:31:15 AM
2 M 40-44,4:36:23 AM
2 M 25-29,4:36:35 AM
1 M 45-49,4:39:21 AM
3 M 40-44,4:42:27 AM
4 M 35-39,4:43:12 AM
6 M 30-34,4:44:29 AM
3 M 25-29,4:44:49 AM
7 M 30-34,4:45:28 AM
1 M 50-54,4:46:41 AM
5 M 35-39,4:47:04 AM
6 M 35-39,4:47:06 AM
4 M 40-44,4:47:22 AM
1 F 35-39,4:49:33 AM
2 M 45-49,4:51:46 AM
4 M 25-29,4:53:33 AM
2 F 25-29,4:54:01 AM
5 M 40-44,4:54:45 AM
7 M 35-39,4:56:32 AM
6 M 40-44,4:56:55 AM
2 F 35-39,4:56:55 AM
8 M 35-39,4:58:14 AM
9 M 35-39,4:59:01 AM
10 M 35-39,4:59:43 AM
11 M 35-39,5:00:51 AM
3 F 35-39,5:01:13 AM
12 M 35-39,5:01:16 AM
1 F 30-34,5:01:37 AM
7 M 40-44,5:01:48 AM
5 M 25-29,5:02:14 AM
2 F 30-34,5:03:15 AM
13 M 35-39,5:04:08 AM
3 F 25-29,5:04:44 AM
4 F 25-29,5:06:10 AM
6 M 25-29,5:06:25 AM
8 M 40-44,5:06:37 AM
14 M 35-39,5:06:38 AM
8 M 30-34,5:07:13 AM
4 F 35-39,5:07:56 AM
7 M 25-29,5:08:32 AM
15 M 35-39,5:08:43 AM
3 M 45-49,5:10:59 AM
8 M 25-29,5:11:06 AM
9 M 40-44,5:11:21 AM
9 M 30-34,5:11:36 AM
4 M 45-49,5:11:45 AM
9 M 25-29,5:12:34 AM
1 M 20-24,5:13:27 AM
10 M 25-29,5:14:43 AM
11 M 25-29,5:14:45 AM
1 F 40-44,5:15:36 AM
12 M 25-29,5:16:29 AM
10 M 40-44,5:17:20 AM
1 M 55-59,5:17:32 AM
11 M 40-44,5:17:41 AM
1 F 20-24,5:18:06 AM
12 M 40-44,5:18:10 AM
1 M 15-19,5:18:40 AM
2 M 55-59,5:18:55 AM
13 M 40-44,5:19:09 AM
2 M 50-54,5:20:40 AM
14 M 40-44,5:20:54 AM
10 M 30-34,5:20:58 AM
1 F 50-54,5:22:23 AM
16 M 35-39,5:22:58 AM
11 M 30-34,5:23:59 AM
2 M 15-19,5:25:29 AM
15 M 40-44,5:25:53 AM
5 F 25-29,5:25:53 AM
12 M 30-34,5:26:33 AM
