Age Group Place,Chip Time
1 Top Fin,1:05:05 AM
2 Top Fin,1:05:17 AM
3 Top Fin,1:05:21 AM
4 Top Fin,1:07:36 AM
5 Top Fin,1:08:30 AM
1 M 20-24,1:08:52 AM
1 M 30-34,1:09:02 AM
2 M 20-24,1:13:18 AM
,1:14:28 AM
3 M 20-24,1:14:37 AM
1 Top Fin,1:15:27 AM
2 M 30-34,1:16:10 AM
2 Top Fin,1:16:10 AM
1 Top Fin,1:16:34 AM
3 Top Fin,1:17:00 AM
1 M 25-29,1:17:05 AM
4 Top Fin,1:17:59 AM
1 M 35-39,1:18:43 AM
3 M 30-34,1:19:43 AM
2 M 25-29,1:19:59 AM
5 Top Fin,1:20:02 AM
2 Top Fin,1:20:10 AM
1 F 30-34,1:20:42 AM
2 M 35-39,1:20:54 AM
4 M 30-34,1:21:01 AM
3 M 25-29,1:21:24 AM
5 M 30-34,1:22:22 AM
6 M 30-34,1:22:43 AM
1 F 25-29,1:22:51 AM
2 F 25-29,1:22:59 AM
7 M 30-34,1:23:15 AM
3 F 25-29,1:23:17 AM
4 M 20-24,1:23:22 AM
5 M 20-24,1:23:22 AM
8 M 30-34,1:23:36 AM
3 M 35-39,1:23:45 AM
3 Top Fin,1:24:05 AM
2 F 30-34,1:24:31 AM
9 M 30-34,1:24:35 AM
4 M 25-29,1:24:38 AM
1 F 20-24,1:25:01 AM
4 M 35-39,1:25:03 AM
1 Top Fin,1:25:06 AM
4 Top Fin,1:25:09 AM
2 F 20-24,1:25:28 AM
10 M 30-34,1:25:45 AM
11 M 30-34,1:25:59 AM
5 M 25-29,1:26:12 AM
6 M 20-24,1:26:23 AM
1 M 40-44,1:26:24 AM
5 M 35-39,1:26:29 AM
1 M 55-59,1:26:30 AM
6 M 35-39,1:26:31 AM
4 F 25-29,1:26:34 AM
6 M 25-29,1:27:02 AM
7 M 35-39,1:27:02 AM
7 M 20-24,1:27:03 AM
12 M 30-34,1:27:03 AM
8 M 35-39,1:27:06 AM
7 M 25-29,1:27:08 AM
1 F 35-39,1:27:09 AM
1 M 45-49,1:27:20 AM
9 M 35-39,1:27:25 AM
10 M 35-39,1:27:27 AM
13 M 30-34,1:27:29 AM
8 M 25-29,1:27:52 AM
2 Top Fin,1:27:53 AM
2 M 40-44,1:28:03 AM
3 F 20-24,1:28:05 AM
8 M 20-24,1:28:06 AM
5 F 25-29,1:28:07 AM
9 M 20-24,1:28:10 AM
11 M 35-39,1:28:12 AM
1 M 50-54,1:28:16 AM
2 M 45-49,1:28:18 AM
10 M 20-24,1:28:18 AM
14 M 30-34,1:28:24 AM
11 M 20-24,1:28:24 AM
9 M 25-29,1:28:27 AM
3 M 40-44,1:28:28 AM
12 M 20-24,1:28:29 AM
12 M 35-39,1:28:30 AM
13 M 35-39,1:28:30 AM
14 M 35-39,1:28:32 AM
15 M 35-39,1:28:34 AM
2 M 50-54,1:28:35 AM
4 M 40-44,1:28:52 AM
5 M 40-44,1:28:54 AM
15 M 30-34,1:28:55 AM
6 F 25-29,1:28:56 AM
6 M 40-44,1:28:57 AM
7 M 40-44,1:29:02 AM
16 M 30-34,1:29:05 AM
17 M 30-34,1:29:05 AM
8 M 40-44,1:29:06 AM
9 M 40-44,1:29:06 AM
18 M 30-34,1:29:11 AM
16 M 35-39,1:29:11 AM
17 M 35-39,1:29:16 AM
18 M 35-39,1:29:21 AM
19 M 35-39,1:29:23 AM
2 F 35-39,1:29:24 AM
20 M 35-39,1:29:26 AM
19 M 30-34,1:29:29 AM
21 M 35-39,1:29:31 AM
22 M 35-39,1:29:32 AM
23 M 35-39,1:29:33 AM
10 M 25-29,1:29:33 AM
3 M 50-54,1:29:37 AM
7 F 25-29,1:29:39 AM
20 M 30-34,1:29:40 AM
13 M 20-24,1:29:46 AM
8 F 25-29,1:29:52 AM
21 M 30-34,1:30:00 AM
24 M 35-39,1:30:03 AM
10 M 40-44,1:30:24 AM
25 M 35-39,1:30:25 AM
4 F 20-24,1:30:27 AM
3 M 45-49,1:30:27 AM
11 M 25-29,1:30:28 AM
9 F 25-29,1:30:32 AM
22 M 30-34,1:30:38 AM
26 M 35-39,1:30:42 AM
3 F 30-34,1:30:50 AM
23 M 30-34,1:31:01 AM
11 M 40-44,1:31:13 AM
3 Top Fin,1:31:14 AM
4 M 50-54,1:31:17 AM
24 M 30-34,1:31:23 AM
4 M 45-49,1:31:27 AM
12 M 25-29,1:31:30 AM
5 M 45-49,1:31:37 AM
13 M 25-29,1:31:42 AM
6 M 45-49,1:31:47 AM
7 M 45-49,1:31:54 AM
5 F 20-24,1:31:58 AM
8 M 45-49,1:31:58 AM
25 M 30-34,1:32:02 AM
26 M 30-34,1:32:09 AM
27 M 30-34,1:32:14 AM
9 M 45-49,1:32:16 AM
14 M 25-29,1:32:18 AM
5 M 50-54,1:32:21 AM
6 M 50-54,1:32:22 AM
27 M 35-39,1:32:24 AM
12 M 40-44,1:32:27 AM
