State,County,Tagging,Notes
Utah,Davis,Lived,
Utah,Salt Lake,Visited,
Utah,Weber,Visited,
Utah,Morgan,Visited,
Utah,Cache,Visited,USU
Utah,Box Elder,Drive Thru,Brigham City
Utah,Tooele,Drive Thru,
Utah,Utah,Visited,Happy Valley
Utah,Summit,Visited,Park City
Utah,Wasatch,Visited,Heber City
Utah,Duchesne,Drive Thru,To Vernal
Utah,Uintah,Visited,Vernal
Utah,Carbon,Drive Thru,To Moab
Utah,Emery,Drive Thru,To Moab
Utah,Grand,Visited,Moab
Utah,Juab,Drive Thru,To St. George
Utah,Millard,Drive Thru,To St. George
Utah,Beaver,Drive Thru,To St. George
Utah,Iron,Drive Thru,To St. George
Utah,Washington,Visited,St. George
Utah,San Juan,Drive Thru,
Utah,Rich,Drive Thru,Star Valley/Jackson Hole
Wyoming,Uinta,Drive Thru,Evanston
Wyoming,Lincoln,Visited,Star Valley
Wyoming,Teton,Visited,Jackson Hole
Wyoming,Park,Visited,Yellowstone
Wyoming,Sweetwater,Drive Thru,Move to GA
Wyoming,Carbon,Drive Thru,Move to GA
Wyoming,Albany,Drive Thru,Move to GA
Wyoming,Laramie,Drive Thru,Move to GA
Arizona,Mohave,Drive Thru,To California
Arizona,Yavapai,Drive Thru,To Phoenix
Arizona,Maricopa,Visited,Phoenix
Nevada,Clark,Visited,Las Vegas
Nevada,Elko,Drive Thru,To Roseville
Nevada,Eureka,Drive Thru,To Roseville
Nevada,Lander,Drive Thru,To Roseville
Nevada,Humbolt,Drive Thru,To Roseville
Nevada,Pershing,Drive Thru,To Roseville
Nevada,Churchill,Drive Thru,To Roseville
Nevada,Storey,Drive Thru,To Roseville
Nevada,Washoe,Drive Thru,To Roseville
California,San Bernardino,Drive Thru,Six Flags/Knoxberry Park trip
California,Orange,Visited,Six Flags/Knoxberry Park trip
California,Los Angeles,Visited,Six Flags/Knoxberry Park trip
California,San Francisco,Visited,
California,San Mateo,Drive Thru,SF conferences
California,Sacramento,Visited,Roseville trip
California,Placer,Visited,Roseville trip
Idaho,Bear Lake,Visited,
Idaho,Oneida,Visited,
Idaho,Bannock,Visited,
Idaho,Bingham,Visited,
Idaho,Bonneville,Visited,
Idaho,Jefferson,Visited,
Idaho,Madison,Lived,
Idaho,Teton,Visited,
Idaho,Fremont,Visited,
Colorado,Weld,Visited,Greeley
Colorado,Dolores,Drive Thru,To Texas
Colorado,Montezuma,Drive Thru,To Texas
Colorado,Larimer,Drive Thru,Move to GA
Colorado,Boulder,Drive Thru,Move to GA
Colorado,Jefferson,Visited,Golden/Move to GA
Colorado,Arapahoe,Drive Thru,Move to GA
Colorado,Elbert,Drive Thru,Move to GA
Colorado,Lincoln,Drive Thru,Move to GA
Colorado,Kit Carson,Drive Thru,Move to GA
New Mexico,San Juan,Drive Thru,To Texas
New Mexico,Sandoval,Drive Thru,To Texas
New Mexico,Bernalillo,Drive Thru,Albuquerque/to Texas
New Mexico,Torrance,Drive Thru,To Texas
New Mexico,Guadalupe,Drive Thru,To Texas
New Mexico,Quay,Drive Thru,To Texas
Texas,Deaf Smith,Drive Thru,To Texas
Texas,Oldham,Drive Thru,To Texas
Texas,Randall,Drive Thru,To Texas
Texas,Armstrong,Drive Thru,To Texas
Texas,Donley,Drive Thru,To Texas
Texas,Hall,Drive Thru,To Texas
Texas,Childress,Drive Thru,To Texas
Texas,Hardeman,Drive Thru,To Texas
Texas,Wilbarger,Drive Thru,To Texas
Texas,Wichita,Drive Thru,To Texas
Texas,Archer,Drive Thru,To Texas
Texas,Clay,Drive Thru,To Texas
Texas,Montague,Drive Thru,To Texas
Texas,Wise,Drive Thru,To Texas
Texas,Denton,Lived,
Texas,Collin,Visited,Allen
Texas,Dallas,Visited,Dallas
Texas,Jack,Drive Thru,From Texas
Texas,Young,Drive Thru,From Texas
Texas,Throckmorton,Drive Thru,From Texas
Texas,Baylor,Drive Thru,From Texas
Texas,Knox,Drive Thru,From Texas
Texas,King,Drive Thru,From Texas
Texas,Dickens,Drive Thru,From Texas
Texas,Crosby,Drive Thru,From Texas
Texas,Lubbock,Drive Thru,From Texas
Texas,Hale,Drive Thru,From Texas
Texas,Swisher,Drive Thru,From Texas
Texas,Bexar,Visited,USAA
Kansas,Sherman,Drive Thru,Move to GA
Kansas,Thomas,Drive Thru,Move to GA
Kansas,Gove,Drive Thru,Move to GA
Kansas,Trego,Drive Thru,Move to GA
Kansas,Ellis,Drive Thru,Move to GA
Kansas,Russell,Drive Thru,Move to GA
Kansas,Ellsworth,Drive Thru,Move to GA
Kansas,Saline,Drive Thru,Move to GA
Kansas,Dickinson,Drive Thru,Move to GA
Kansas,Geary,Drive Thru,Move to GA
Kansas,Riley,Drive Thru,Move to GA
Kansas,Wabaunsee,Drive Thru,Move to GA
Kansas,Shawnee,Drive Thru,Move to GA
Kansas,Johnson,Lived,2014-2015
Kansas,Miami,Drive Thru,
Kansas,Douglas,Visited,Lawrence/Color Run
Kansas,Wyandotte,Visited,Apple Picking
Missouri,Platte,Visited,Move to GA
Missouri,Cass,Drive Thru,Move to GA
Missouri,Bates,Drive Thru,Move to GA
Missouri,Vernon,Drive Thru,Move to GA
Missouri,Barton,Drive Thru,Move to GA
Missouri,Jasper,Drive Thru,Move to GA
Missouri,Greene,Visited,Move to GA
Missouri,Jackson,Lived,2015-2017
Missouri,Clay,Visited,
Missouri,Lawrence,Drive Thru,
Missouri,St Charles,Visited,
Missouri,St Louis,Visited,
Missouri,Boone,Visited,
Georgia,Cobb,Lived,2009-2014
Georgia,Paulding,Visited,
Georgia,Douglas,Visited,
Georgia,Carroll,Visited,Carrolton
Georgia,Fulton,Visited,ATL
Georgia,Gwinnett,Visited,Lawrenceville
Georgia,Forsyth,Visited,Cumming
Georgia,DeKalb,Visited,Decater
Georgia,Bartow,Drive Thru,To Chattanooga
Georgia,Gordon,Drive Thru,To Chattanooga
Georgia,Whitfield,Drive Thru,To Chattanooga
Georgia,Catoosa,Drive Thru,To Chattanooga
Georgia,Cherokee,Drive Thru,To Ellijay
Georgia,Pickens,Drive Thru,To Ellijay
Georgia,Gilmer,Visited,Ellijay
Alabama,Cleburne,Drive Thru,Birmingham Trip
Alabama,Talladega,Drive Thru,Birmingham Trip
Alabama,St Clair,Drive Thru,Birmingham Trip
Alabama,Jefferson,Visited,Birmingham Trip
Tennessee,Knox,Visited,UT Visit
Tennessee,Davidson,Visited,Nashville Trip
Tennessee,Williamson,Visited,Nashville Trip
Tennessee,Hamilton,Visited,Chattanooga/Ragnar
Tennessee,Marion,Drive Thru,Ragnar
Tennessee,Grundy,Drive Thru,Ragnar
Tennessee,Franklin,Drive Thru,Ragnar
Tennessee,Coffee,Drive Thru,Ragnar
Tennessee,Bedford,Drive Thru,Ragnar
Tennessee,Rutherford,Drive Thru,Ragnar
Tennessee,Sevier,Visited,Gatlinburg Trip
Kentucky,Jefferson,Visited,Humana Househunting Trip
Kentucky,Oldham,Visited,Humana Househunting Trip
Minnesota,Ramsey,Visited,Travelers
Minnesota,Washington,Drive Thru,Travelers
Minnesota,Hennepin,Drive Thru,Travelers
Indiana,Marion,Drive Thru,Activate
Indiana,Hamilton,Visited,Activate
Maryland,,Visited,Actuarial University
Maryland,,Visited,Actuarial University
Connecticut,,Visited,Actuarial Forum
